event_id,event_date,category,title,agenda_name,status,has_video,video_url,duration_minutes,has_agenda,agenda_pdf_url,minutes_pdf_url,location
1223,2024-01-01,Town Board,Town Board Meeting,Town Board Meeting,Published,yes,,998776800,yes,,,
1264,2024-01-03,Town Board,Town Board Meeting,Town Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/7b72bfc173.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/61511dc3a0.pdf,
5085,2024-01-04,Town Board Work Session,Town Board Work Session Meeting,Town Board Work Session Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/00e7e005d2.pdf,,
779,2024-01-04,Planning Board,Planning Board Meeting,Planning Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/d2e3dd3c76.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/ce81cfa591.pdf,
694,2024-01-10,Conservation Advisory Council,Conservation Advisory Council Meeting,Conservation Advisory Council Meeting,Published,no,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/c9f8052ab6.pdf,,
5097,2024-01-11,Town Board Work Session,Town Board Work Session Meeting,Town Board Work Session Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/68872d3ffa.pdf,,
1378,2024-01-17,Town Board,Town Board Meeting,Town Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/1fa872ec8f.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/4b33dbe54f.pdf,
307,2024-01-17,Community Development Agency,Community Development Agency Meeting,Community Development Agency Meeting,Published,no,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/d3cf09cd8e.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/188b4c41a4.pdf,
793,2024-01-18,Planning Board,Planning Board Meeting,Planning Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/cbd719bb35.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/3099e1c1b9.pdf,
207,2024-01-24,Architectural Review Board,Architectural Review Board Meeting,Architectural Review Board Meeting,Published,no,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/93b0e8a2c2.pdf,,
5117,2024-01-25,Town Board Work Session,Town Board Work Session Meeting,Town Board Work Session Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/9c82627eb1.pdf,,
6162,2024-01-25,Zoning Board of Appeals,Zoning Board Meeting,Zoning Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/8fe7ef2086.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/c22a4e2a9e.pdf,
5689,2024-01-25,,Zoning Board Meeting,,Published,no,,998776800,no,,,
5124,2024-01-29,Town Board Work Session,Town Board Work Session Meeting,Town Board Work Session Meeting,Published,yes,,998776800,yes,,,
5132,2024-02-01,Town Board Work Session,Town Board Work Session Meeting,Town Board Work Session Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/fb294228db.pdf,,
801,2024-02-01,Planning Board,Planning Board Meeting,Planning Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/4cff4c1077.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/6b4afdc53e.pdf,
1545,2024-02-06,Town Board,Town Board Meeting,Town Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/d4af934a40.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/3c2a6c47d4.pdf,
5143,2024-02-08,Town Board Work Session,Town Board Work Session Meeting,Town Board Work Session Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/b0aaa220cd.pdf,,
6170,2024-02-08,Zoning Board of Appeals,Zoning Board Meeting,Zoning Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/27c3ec3766.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/b8b855d3b9.pdf,
5697,2024-02-08,,Zoning Board Meeting,,Published,no,,998776800,no,,,
1098,2024-02-13,Pre-Submission Conferences,Pre-Submission Conferences Meeting,Pre-Submission Conferences Meeting,Published,no,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/9ce3de5b36.pdf,,
5156,2024-02-15,Town Board Work Session,Town Board Work Session Meeting,Town Board Work Session Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/61cebe8e07.pdf,,
815,2024-02-15,Planning Board,Planning Board Meeting,Planning Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/b17fbe7337.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/10d1473f2d.pdf,
1100,2024-02-20,Pre-Submission Conferences,Pre-Submission Conferences Meeting,Pre-Submission Conferences Meeting,Published,no,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/77c33274d8.pdf,,
1664,2024-02-21,Town Board,Town Board Meeting,Town Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/22bf803c25.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/5d64db0959.pdf,
706,2024-02-21,Conservation Advisory Council,Conservation Advisory Council Meeting,Conservation Advisory Council Meeting,Published,no,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/132fc4ec9d.pdf,,
342,2024-02-21,Community Development Agency,Community Development Agency Meeting,Community Development Agency Meeting,Published,no,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/2558ae8091.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/10acc97475.pdf,
6183,2024-02-22,Zoning Board of Appeals,Zoning Board Meeting,Zoning Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/6062ad608c.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/8e6d58c329.pdf,
5710,2024-02-22,,Zoning Board Meeting,,Published,no,,998776800,no,,,
1102,2024-02-27,Pre-Submission Conferences,Pre-Submission Conferences Meeting,Pre-Submission Conferences Meeting,Published,no,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/c838a2c7c1.pdf,,
217,2024-02-28,Architectural Review Board,Architectural Review Board Meeting,Architectural Review Board Meeting,Published,no,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/96993d5183.pdf,,
5176,2024-02-29,Town Board Work Session,Town Board Work Session Meeting,Town Board Work Session Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/d7eb8127d7.pdf,,
1104,2024-03-05,Pre-Submission Conferences,Pre-Submission Conferences Meeting,Pre-Submission Conferences Meeting,Published,no,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/cbb6fb6b79.pdf,,
1775,2024-03-05,Town Board,Town Board Meeting,Town Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/dd2c765d2e.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/a7bfbd1547.pdf,
5189,2024-03-07,Town Board Work Session,Town Board Work Session Meeting,Town Board Work Session Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/2f27e6c380.pdf,,
841,2024-03-07,Planning Board,Planning Board Meeting,Planning Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/53d48669c0.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/f993bccd8e.pdf,
1106,2024-03-12,Pre-Submission Conferences,Pre-Submission Conferences Meeting,Pre-Submission Conferences Meeting,Published,no,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/5fd0dbc717.pdf,,
713,2024-03-13,Conservation Advisory Council,Conservation Advisory Council Meeting,Conservation Advisory Council Meeting,Published,no,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/4d71693b50.pdf,,
5202,2024-03-14,Town Board Work Session,Town Board Work Session Meeting,Town Board Work Session Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/fa642e58c0.pdf,,
6208,2024-03-14,Zoning Board of Appeals,Zoning Board Meeting,Zoning Board Meeting,Published,yes,,998776800,yes,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/e4166c4f46.pdf,https://riverheadny.portal.civicclerk.com/stream/RIVERHEADNY/e18ee227d5.pdf,
